frame_id,source_path,pred_volume_ml,mesh_volume_ml,reference_volume_ml,latent_path,mesh_path,inference_time_ms
00059,/home/tianqi/corepp2/data/20260416/pointcloud/00059.ply,,24.687838,25.693964,/home/tianqi/corepp2/unseen_output/latents/00059.pth,/home/tianqi/corepp2/unseen_output/meshes/00059.ply,32.359
00060,/home/tianqi/corepp2/data/20260416/pointcloud/00060.ply,,24.580147,24.665465,/home/tianqi/corepp2/unseen_output/latents/00060.pth,/home/tianqi/corepp2/unseen_output/meshes/00060.ply,32.561
00061,/home/tianqi/corepp2/data/20260416/pointcloud/00061.ply,,24.418981,25.598693,/home/tianqi/corepp2/unseen_output/latents/00061.pth,/home/tianqi/corepp2/unseen_output/meshes/00061.ply,29.899
00062,/home/tianqi/corepp2/data/20260416/pointcloud/00062.ply,,24.934112,25.585212,/home/tianqi/corepp2/unseen_output/latents/00062.pth,/home/tianqi/corepp2/unseen_output/meshes/00062.ply,31.126
00063,/home/tianqi/corepp2/data/20260416/pointcloud/00063.ply,,24.758651,25.487552,/home/tianqi/corepp2/unseen_output/latents/00063.pth,/home/tianqi/corepp2/unseen_output/meshes/00063.ply,30.173
00064,/home/tianqi/corepp2/data/20260416/pointcloud/00064.ply,,23.989082,23.447216,/home/tianqi/corepp2/unseen_output/latents/00064.pth,/home/tianqi/corepp2/unseen_output/meshes/00064.ply,29.721
00065,/home/tianqi/corepp2/data/20260416/pointcloud/00065.ply,,23.887382,22.765026,/home/tianqi/corepp2/unseen_output/latents/00065.pth,/home/tianqi/corepp2/unseen_output/meshes/00065.ply,29.179
00066,/home/tianqi/corepp2/data/20260416/pointcloud/00066.ply,,23.2935,22.354268,/home/tianqi/corepp2/unseen_output/latents/00066.pth,/home/tianqi/corepp2/unseen_output/meshes/00066.ply,29.663
00067,/home/tianqi/corepp2/data/20260416/pointcloud/00067.ply,,23.385592,21.819803,/home/tianqi/corepp2/unseen_output/latents/00067.pth,/home/tianqi/corepp2/unseen_output/meshes/00067.ply,28.564
00068,/home/tianqi/corepp2/data/20260416/pointcloud/00068.ply,,24.804755,25.703640,/home/tianqi/corepp2/unseen_output/latents/00068.pth,/home/tianqi/corepp2/unseen_output/meshes/00068.ply,29.438
00069,/home/tianqi/corepp2/data/20260416/pointcloud/00069.ply,,24.76626,25.368392,/home/tianqi/corepp2/unseen_output/latents/00069.pth,/home/tianqi/corepp2/unseen_output/meshes/00069.ply,30.098
